EP loss_test loss_valid
435 0.08388521522283554 0.08388694375753403
436 0.08364125341176987 0.08364297449588776
437 0.0833979919552803 0.08339972048997879
438 0.0831516832113266 0.08315340429544449
439 0.08290743082761765 0.08290916681289673
440 0.08266430348157883 0.08266603946685791
441 0.08242148905992508 0.08242321759462357
442 0.08217938989400864 0.08218111842870712
443 0.08193692564964294 0.08193865418434143
444 0.08169744163751602 0.08169915527105331
445 0.0814572349190712 0.08145897090435028
446 0.08121652156114578 0.08121825009584427
447 0.08097655326128006 0.08097828179597855
448 0.08073943853378296 0.08074116706848145
449 0.08050127327442169 0.08050301671028137
450 0.08026324957609177 0.08026498556137085
451 0.0800262838602066 0.08002801239490509
452 0.07978970557451248 0.07979143410921097
453 0.07955627888441086 0.07955801486968994
454 0.07931944727897644 0.07932117581367493
455 0.0790848582983017 0.07908659428358078
456 0.07885071635246277 0.07885244488716125
457 0.07861606031656265 0.07861778140068054
458 0.07838354259729385 0.07838526368141174
459 0.07815103977918625 0.07815276086330414
460 0.07792007178068161 0.0779218077659607
461 0.07768822461366653 0.07768994569778442
462 0.0774577185511589 0.07745944708585739
463 0.07722869515419006 0.07723041623830795
464 0.07699794322252274 0.07699967920780182
465 0.07676910609006882 0.0767708346247673
466 0.07654155790805817 0.07654330134391785
467 0.0763128325343132 0.07631455361843109
468 0.07608547806739807 0.07608720660209656
469 0.07585827261209488 0.07586000114679337
470 0.07563252002000809 0.07563425600528717
471 0.07540728896856308 0.07540901750326157
472 0.07518070936203003 0.07518244534730911
473 0.07495737075805664 0.07495909929275513
474 0.07473430782556534 0.07473603636026382
475 0.0745098739862442 0.0745115876197815
476 0.07428935915231705 0.07429109513759613
477 0.07406589388847351 0.0740676298737526
478 0.07384388148784637 0.07384561747312546
479 0.07362308353185654 0.07362480461597443
480 0.07340158522129059 0.07340331375598907
481 0.07318244874477386 0.07318417727947235
482 0.07296087592840195 0.07296260446310043
483 0.07274286448955536 0.07274459302425385
484 0.07252489775419235 0.07252663373947144
485 0.0723063126206398 0.07230804115533829
486 0.07208914309740067 0.07209087908267975
487 0.0718739777803421 0.07187571376562119
488 0.07165693491697311 0.0716586709022522
489 0.07144099473953247 0.07144272327423096
490 0.0712253600358963 0.07122710347175598
491 0.07101213932037354 0.07101386785507202
492 0.07079736143350601 0.0707990974187851
493 0.07058445364236832 0.0705861821770668
494 0.07037127763032913 0.07037301361560822
495 0.07015795260667801 0.0701596811413765
496 0.06994808465242386 0.06994981318712234
497 0.06973646581172943 0.06973819434642792
498 0.06952472776174545 0.06952647119760513
499 0.06931585818529129 0.06931757926940918
500 0.06910489499568939 0.06910662353038788
501 0.06889484077692032 0.0688965767621994
502 0.06868811696767807 0.06868984550237656
503 0.06847882270812988 0.06848053634166718
504 0.0682721734046936 0.06827390938997269
505 0.06806401163339615 0.06806575506925583
506 0.0678582563996315 0.06785998493432999
507 0.06765226274728775 0.06765399128198624
508 0.06744552403688431 0.06744726002216339
509 0.06724146008491516 0.06724318861961365
510 0.0670384019613266 0.06704013794660568
511 0.06683333218097687 0.06683506071567535
512 0.06663031876087189 0.06663204729557037
513 0.06642790883779526 0.06642963737249374
514 0.06622524559497833 0.06622697412967682
515 0.06602279841899872 0.0660245344042778
516 0.06582269072532654 0.06582442671060562
517 0.06562238931655884 0.06562411785125732
518 0.06542085856199265 0.06542258709669113
519 0.06522002071142197 0.06522175669670105
520 0.06502214074134827 0.06502386927604675
521 0.06482398509979248 0.06482572108507156
522 0.06462433189153671 0.06462607532739639
523 0.06442827731370926 0.06443001329898834
524 0.06423214077949524 0.06423386931419373
525 0.06403415650129318 0.06403587758541107
526 0.06383898854255676 0.06384072452783585
527 0.06364092230796814 0.06364265829324722
528 0.06344833970069885 0.06345007568597794
529 0.0632530152797699 0.06325475126504898
530 0.06305903196334839 0.06306076049804688
531 0.06286552548408508 0.06286726146936417
532 0.0626727044582367 0.06267444044351578
533 0.062479350715875626 0.06248109042644501
534 0.06228611245751381 0.062287844717502594
535 0.06209799274802208 0.062099725008010864
536 0.06190664693713188 0.06190839037299156
537 0.0617174357175827 0.06171916797757149
538 0.06152445822954178 0.06152619421482086
539 0.06133681908249855 0.061338555067777634
540 0.061147626489400864 0.06114935874938965
541 0.06095675751566887 0.060958489775657654
542 0.060772038996219635 0.06077377498149872
543 0.06058216094970703 0.060583896934986115
544 0.060394495725631714 0.0603962242603302
545 0.06020920351147652 0.0602109357714653
546 0.06002281606197357 0.060024552047252655
547 0.05983802676200867 0.05983977019786835
548 0.05965433642268181 0.05965607240796089
549 0.059467416256666183 0.05946916341781616
550 0.05928562209010124 0.05928735435009003
551 0.05909963697195053 0.059101369231939316
552 0.058917395770549774 0.05891912803053856
553 0.05873472988605499 0.05873646214604378
554 0.05855277553200722 0.0585545115172863
555 0.05837128311395645 0.05837302282452583
556 0.05819163843989372 0.058193378150463104
557 0.05801147595047951 0.05801321566104889
558 0.05782977491617203 0.05783151462674141
559 0.05764944106340408 0.057651180773973465
560 0.05747200548648834 0.057473741471767426
561 0.05729474127292633 0.057296473532915115
562 0.057115331292152405 0.057117074728012085
563 0.056936267763376236 0.05693800747394562
564 0.05676237866282463 0.05676410719752312
565 0.056582409888505936 0.056584153324365616
